case_id,shape_true,shape_pred,shape_correct,Re,dy_true,dy_pred,dy_abs_err,eps_true,eps_pred,eps_abs_err,inverse_iou,inverse_dice
airfoil_Re100_p00,airfoil,bar,False,100,0.029657559469342232,-0.029999999329447746,0.05965755879878998,-0.019867587834596634,-0.03999999910593033,0.020132411271333694,0.0,0.0
airfoil_Re200_p01,airfoil,bar,False,200,0.019723571836948395,-0.029999999329447746,0.04972357302904129,-0.02183149941265583,-0.03999999910593033,0.018168499693274498,0.0,0.0
airfoil_Re300_p00,airfoil,bar,False,300,0.022395266219973564,-0.029999999329447746,0.05239526554942131,-0.03210821747779846,-0.03999999910593033,0.007891781628131866,0.0,0.0
bar_Re100_p00,bar,bar,True,100,-0.008491870015859604,-0.029999999329447746,0.021508129313588142,0.028647223487496376,0.03999999910593033,0.011352775618433952,0.49999999997916666,0.6666666666481482
bar_Re200_p00,bar,bar,True,200,0.005466589704155922,-0.029999999329447746,0.03546658903360367,-0.00630186265334487,0.03999999910593033,0.046301860362291336,0.28571428570408164,0.4444444444320988
bar_Re300_p01,bar,bar,True,300,-0.0014533690409734845,-0.029999999329447746,0.02854662947356701,-0.030879637226462364,0.03999999910593033,0.07087963819503784,0.3333333333194444,0.49999999998437505
circle_Re100_p00,circle,bar,False,100,0.01368989422917366,-0.029999999329447746,0.04368989169597626,0.007317969109863043,-0.03999999910593033,0.04731796681880951,0.30303030302112033,0.4651162790589508
circle_Re200_p00,circle,bar,False,200,0.012534686364233494,-0.029999999329447746,0.042534686625003815,0.024586686864495277,-0.03999999910593033,0.06458668410778046,0.30303030302112033,0.4651162790589508
circle_Re300_p00,circle,bar,False,300,-0.010352377779781818,-0.029999999329447746,0.019647620618343353,-0.010300454683601856,-0.03999999910593033,0.029699545353651047,0.3749999999882813,0.5454545454421488
diamond_Re100_p01,diamond,triangle,False,100,-0.02368891052901745,-0.029999999329447746,0.006311088800430298,-0.039919719099998474,-0.03999999910593033,8.028000593185425e-05,0.47368421050138504,0.6428571428341837
diamond_Re200_p00,diamond,triangle,False,200,0.007145110983401537,-0.029999999329447746,0.037145111709833145,0.03866717591881752,-0.03999999910593033,0.07866717875003815,0.39999999998,0.5714285714081633
diamond_Re300_p00,diamond,triangle,False,300,0.02040240168571472,-0.029999999329447746,0.05040240287780762,0.007284129038453102,-0.03999999910593033,0.04728412628173828,0.3499999999825,0.5185185184993141
triangle_Re100_p00,triangle,triangle,True,100,0.013466641306877136,-0.029999999329447746,0.04346664249897003,0.011327074840664864,-0.03999999910593033,0.05132707208395004,0.39999999998,0.5714285714081633
triangle_Re200_p00,triangle,triangle,True,200,0.018910834565758705,-0.029999999329447746,0.04891083389520645,0.035093724727630615,-0.03999999910593033,0.07509372383356094,0.299999999985,0.46153846152071004
triangle_Re300_p01,triangle,triangle,True,300,0.0008259956957772374,-0.029999999329447746,0.030825994908809662,0.0303355660289526,-0.03999999910593033,0.07033556699752808,0.5263157894459833,0.6896551723900118
